id_pessoa;nome_completo;cpf;data_nascimento;sexo;sigla_orgao
1;João Gomes Lima;32181960003;1963-05-29;M;SECOM
2;Patrícia Gomes Rodrigues;35116155935;1978-09-24;F;SEAD
3;Thiago Costa Oliveira;31647525551;1973-10-18;M;SEINFRA
4;Eduardo Souza Carvalho;64139537647;1996-03-01;M;SES
5;Thiago Souza Rodrigues;22691669734;2002-06-21;M;SERINT
6;Gabriela Ferreira Teixeira;14893252801;2002-07-31;F;CGE
7;Thiago Teixeira Rodrigues;27824896315;2003-05-20;M;FAPEG
8;Daniel Lima Silva;10310518300;1979-12-26;M;GOINFRA
9;Marcelo Moreira Cardoso;10651333830;1995-04-01;M;DGPC
10;Fernando Barbosa Dias;36026064737;1980-08-04;M;ABC
11;Gabriela Dias Ferreira;08121913667;1965-10-03;F;UEG
12;Camila Gomes Pereira;24751079956;1963-12-21;F;DETRAN
13;Marcelo Teixeira Costa;12411824424;1973-11-23;M;JUCEG
14;Fernanda Martins Rocha;68011280511;2004-07-27;F;SES
15;Felipe Lima Ferreira;26025634203;1964-09-12;M;RETOMADA
16;Thiago Gomes Araújo;86850142984;1978-10-25;M;SEAD
17;Ana Dias Rocha;35615951460;2000-06-30;F;SEAPA
18;Rafael Costa Almeida;69957773879;1997-06-14;M;PM
19;Amanda Oliveira Barbosa;69367632002;1964-07-24;F;ABC
20;Amanda Dias Pereira;87277434897;1998-06-23;F;GOIASTURISMO
21;André Almeida Oliveira;66587603653;1989-12-10;M;SEDUC
22;Rafael Pereira Dias;06562729882;1957-06-02;M;SECULT
23;Letícia Araújo Gomes;64170805364;1961-02-26;F;SEAD
24;Letícia Carvalho Ferreira;99124190497;1988-09-02;F;SECULT
25;Bruno Moreira Ribeiro;06716572678;1970-10-20;M;DPE-GO
26;Patrícia Silva Dias;52735454983;1979-10-14;F;AGRODEFESA
27;Fernando Lima Ribeiro;95788568579;1986-07-25;M;SEMAD
28;Mariana Almeida Ribeiro;35240824088;1959-11-22;F;AGRODEFESA
29;Mariana Oliveira Pereira;71902294181;1977-04-07;F;DGPP
30;Thiago Almeida Cardoso;34123281206;1955-03-29;M;SEEL
31;Fernando Santos Rocha;32421024951;1980-11-22;M;SECAMI
32;Ana Oliveira Gomes;99049027806;1994-09-03;F;SEINFRA
33;Juliana Cardoso Araújo;80715451634;2001-03-02;F;CGE
34;Felipe Costa Barbosa;71093248009;2004-07-18;M;SEEL
35;Fernando Almeida Moreira;82146584033;1980-05-17;M;SEAPA
36;André Lima Nascimento;63605766277;1999-06-09;M;SEAD
37;Patrícia Nascimento Araújo;15865780905;1961-02-20;F;GOIASTURISMO
38;Patrícia Carvalho Martins;23869222190;1989-04-27;F;GOIASTURISMO
39;Amanda Costa Cardoso;64743671302;1989-03-19;F;UEG
40;Camila Moreira Almeida;94210470953;1987-09-25;F;DGPC
41;Bianca Ribeiro Santos;71236851641;1956-04-01;F;SERINT
42;Marcelo Oliveira Cardoso;74612004701;1965-06-02;M;CBM
43;Ana Carvalho Almeida;77351585059;1990-09-20;F;SEINFRA
44;Daniel Almeida Gomes;52904228462;1970-08-27;M;DGPP
45;Gabriela Santos Oliveira;77589178365;1958-11-21;F;DPE-GO
46;Pedro Gomes Moreira;98569847858;1993-08-05;M;CBM
47;Beatriz Ribeiro Gomes;52711116107;1988-06-06;F;DGPC
48;Daniel Dias Almeida;27315851453;1975-04-16;M;ABC
49;Mariana Rodrigues Cardoso;01836675224;1988-03-13;F;SEAPA
50;Beatriz Gomes Almeida;81561497851;1982-09-02;F;SEAD
51;Fernanda Rodrigues Pereira;83885160609;1956-09-06;F;SEMAD
52;Mariana Pereira Santos;36968164507;1974-11-17;F;JUCEG
53;Pedro Nascimento Rodrigues;12779979933;1983-12-30;M;SECTI
54;João Carvalho Costa;11998679853;1958-09-06;M;SECAMI
55;João Lima Barbosa;78892554620;1991-09-03;M;JUCEG
56;Felipe Carvalho Costa;62914865201;2002-03-23;M;SSP
57;Carlos Costa Santos;88805929638;1968-11-02;M;PM
58;Letícia Barbosa Almeida;59774688651;1969-07-16;F;FAPEG
59;Larissa Dias Rodrigues;61375060619;2000-01-14;F;SIC
60;Thiago Barbosa Martins;90104328908;2002-05-08;M;ABC
61;Marcelo Dias Nascimento;32460953968;1992-05-16;M;SEDF
62;Patrícia Gomes Silva;51531952011;1986-08-10;F;SEDS
63;Gustavo Costa Teixeira;68740345025;1984-10-11;M;SEINFRA
64;Mariana Pereira Moreira;28451154409;1995-01-02;F;GOIASPREV
65;Patrícia Dias Ferreira;02970213540;1987-06-28;F;RETOMADA
66;Camila Santos Silva;27868144726;1974-04-02;F;CASACIVIL
67;Marina Costa Ferreira;25831323773;1957-05-11;F;SIC
68;Pedro Ribeiro Cardoso;17785289298;1966-07-30;M;ABC
69;Camila Moreira Teixeira;42498182926;1968-10-31;F;PM
70;Rodrigo Moreira Teixeira;44736471026;1969-03-07;M;SECAMI
71;Gustavo Lima Barbosa;14732104614;1992-07-06;M;GOIASTURISMO
72;Camila Almeida Nascimento;50047974800;1955-09-25;F;CBM
73;Fernando Dias Martins;84991216591;1985-06-03;M;AGRODEFESA
74;Fernanda Nascimento Dias;25952694969;1985-03-06;F;EMATER
75;Daniel Barbosa Gomes;99309728973;1989-02-09;M;SES
76;Gabriela Nascimento Barbosa;02838578626;1983-02-24;F;SEDF
77;Bianca Almeida Dias;57584419887;1989-01-23;F;SECULT
78;Fernanda Santos Moreira;93308330121;1992-01-30;F;JUCEG
79;Felipe Oliveira Cardoso;93802620607;1999-06-11;M;SEDF
80;Eduardo Dias Martins;43152742088;1985-03-30;M;CASACIVIL
81;Marina Lima Silva;46374549996;1956-01-10;F;SERINT
82;Lucas Rodrigues Dias;27956878365;1977-03-14;M;GOIASPREV
